eBird_count,eBird_code,State,County,PerCapitaIncome,Population
3580,US-PA-083,Pennsylvania,McKean,22426,43294
8689,US-PA-085,Pennsylvania,Mercer,22831,116059
5191,US-PA-087,Pennsylvania,Mifflin,20794,46698
19167,US-PA-089,Pennsylvania,Monroe,25494,168947
104402,US-PA-091,Pennsylvania,Montgomery,41472,804621
5959,US-PA-093,Pennsylvania,Montour,29600,18379
21519,US-PA-095,Pennsylvania,Northampton,29266,298439
4986,US-PA-097,Pennsylvania,Northumberland,22478,94444
6494,US-PA-099,Pennsylvania,Perry,26048,45808
47909,US-PA-101,Pennsylvania,Philadelphia,22279,1536704
7181,US-PA-103,Pennsylvania,Pike,27691,57179
4308,US-PA-105,Pennsylvania,Potter,22564,17487
16366,US-PA-107,Pennsylvania,Schuylkill,23021,147700
2834,US-PA-109,Pennsylvania,Snyder,23088,39711
9536,US-PA-111,Pennsylvania,Somerset,22192,77341
1968,US-PA-113,Pennsylvania,Sullivan,22923,6419
12006,US-PA-115,Pennsylvania,Susquehanna,24477,42948
22739,US-PA-117,Pennsylvania,Tioga,22621,42267
3901,US-PA-119,Pennsylvania,Union,22259,44932
2437,US-PA-121,Pennsylvania,Venango,22060,54590
3007,US-PA-123,Pennsylvania,Warren,24179,41429
12191,US-PA-125,Pennsylvania,Washington,28433,208047
4803,US-PA-127,Pennsylvania,Wayne,24005,52212
15849,US-PA-129,Pennsylvania,Westmoreland,28051,364090
4657,US-PA-131,Pennsylvania,Wyoming,24195,28177
26969,US-PA-133,Pennsylvania,York,28132,436339
8921,US-RI-001,Rhode Island,Bristol,38893,49426
6799,US-RI-003,Rhode Island,Kent,33814,165628
29513,US-RI-005,Rhode Island,Newport,40293,82545
15188,US-RI-007,Rhode Island,Providence,26308,627469
38890,US-RI-009,Rhode Island,Washington,37023,126627
913,US-SC-001,South Carolina,Abbeville,18134,25233
15862,US-SC-003,South Carolina,Aiken,24769,161710
888,US-SC-005,South Carolina,Allendale,13334,10214
8331,US-SC-007,South Carolina,Anderson,22081,188480
177,US-SC-009,South Carolina,Bamberg,18902,15814
1141,US-SC-011,South Carolina,Barnwell,18862,22399
24631,US-SC-013,South Carolina,Beaufort,32503,165354
8880,US-SC-015,South Carolina,Berkeley,24165,184366
852,US-SC-017,South Carolina,Calhoun,23023,15109
71787,US-SC-019,South Carolina,Charleston,30158,358736
849,US-SC-021,South Carolina,Cherokee,18240,55587
500,US-SC-023,South Carolina,Chester,18098,32879
1471,US-SC-025,South Carolina,Chesterfield,17140,46452
4648,US-SC-027,South Carolina,Clarendon,17665,34652
10460,US-SC-029,South Carolina,Colleton,18769,38453
1263,US-SC-031,South Carolina,Darlington,20105,68346
500,US-SC-033,South Carolina,Dillon,14988,31661
5633,US-SC-035,South Carolina,Dorchester,24495,139802
614,US-SC-037,South Carolina,Edgefield,20753,26698
344,US-SC-039,South Carolina,Fairfield,20257,23589
1464,US-SC-041,South Carolina,Florence,22432,137393
19778,US-SC-043,South Carolina,Georgetown,24437,60280
26226,US-SC-045,South Carolina,Greenville,26643,459857
3056,US-SC-047,South Carolina,Greenwood,21053,69727
1325,US-SC-049,South Carolina,Hampton,19332,20840
8992,US-SC-051,South Carolina,Horry,24002,276688
10349,US-SC-053,South Carolina,Jasper,17350,25408
5111,US-SC-055,South Carolina,Kershaw,22638,61918
477,US-SC-057,South Carolina,Lancaster,21003,77946
1356,US-SC-059,South Carolina,Laurens,19153,66457
708,US-SC-061,South Carolina,Lee,14740,18890
11820,US-SC-063,South Carolina,Lexington,26886,266575
234,US-SC-067,South Carolina,Marion,16531,32695
238,US-SC-069,South Carolina,Marlboro,14577,28542
1032,US-SC-065,South Carolina,McCormick,22150,10091
637,US-SC-071,South Carolina,Newberry,21591,37514
4269,US-SC-073,South Carolina,Oconee,23904,74419
6189,US-SC-075,South Carolina,Orangeburg,17687,91836
7588,US-SC-077,South Carolina,Pickens,21182,119483
14769,US-SC-079,South Carolina,Richland,25763,389708
457,US-SC-081,South Carolina,Saluda,19725,19895
45336,US-SC-083,South Carolina,Spartanburg,21889,286789
1325,US-SC-085,South Carolina,Sumter,20340,107645
716,US-SC-087,South Carolina,Union,19037,28594
1255,US-SC-089,South Carolina,Williamsburg,14845,33944
3202,US-SC-091,South Carolina,York,26553,230934
565,US-SD-003,South Dakota,Aurora,23504,2722
798,US-SD-005,South Dakota,Beadle,24025,17663
459,US-SD-007,South Dakota,Bennett,16275,3431
388,US-SD-009,South Dakota,Bon Homme,20941,7048
4957,US-SD-011,South Dakota,Brookings,23105,32295
10151,US-SD-013,South Dakota,Brown,27138,36982
691,US-SD-015,South Dakota,Brule,21928,5286
347,US-SD-017,South Dakota,Buffalo,11405,1966
943,US-SD-019,South Dakota,Butte,21744,10197
201,US-SD-021,South Dakota,Campbell,24152,1435
2855,US-SD-023,South Dakota,Charles Mix,19030,9176
320,US-SD-025,South Dakota,Clark,27878,3635
2002,US-SD-027,South Dakota,Clay,20595,13953
625,US-SD-029,South Dakota,Codington,25582,27439
138,US-SD-031,South Dakota,Corson,14262,4078
5523,US-SD-033,South Dakota,Custer,28356,8306
546,US-SD-035,South Dakota,Davison,24597,19622
1130,US-SD-037,South Dakota,Day,23126,5669
436,US-SD-039,South Dakota,Deuel,27525,4362
170,US-SD-041,South Dakota,Dewey,15558,5419
3101,US-SD-043,South Dakota,Douglas,28323,3000
575,US-SD-045,South Dakota,Edmunds,25775,4051
1214,US-SD-047,South Dakota,Fall River,23624,7001
285,US-SD-049,South Dakota,Faulk,23069,2370
684,US-SD-051,South Dakota,Grant,24554,7307
491,US-SD-053,South Dakota,Gregory,23041,4247
533,US-SD-055,South Dakota,Haakon,25754,1944
262,US-SD-057,South Dakota,Hamlin,25233,5925
403,US-SD-059,South Dakota,Hand,26027,3433
325,US-SD-061,South Dakota,Hanson,23197,3377
1062,US-SD-063,South Dakota,Harding,22247,1330
4592,US-SD-065,South Dakota,Hughes,30284,17238
617,US-SD-067,South Dakota,Hutchinson,26110,7239
282,US-SD-069,South Dakota,Hyde,26195,1387
2520,US-SD-071,South Dakota,Jackson,20319,3116
165,US-SD-073,South Dakota,Jerauld,26590,2055
772,US-SD-075,South Dakota,Jones,23377,981
1571,US-SD-077,South Dakota,Kingsbury,27485,5142
867,US-SD-079,South Dakota,Lake,27015,11564
3027,US-SD-081,South Dakota,Lawrence,27498,24305
2388,US-SD-083,South Dakota,Lincoln,34839,46693
1734,US-SD-085,South Dakota,Lyman,20586,3804
748,US-SD-091,South Dakota,Marshall,24205,4657
625,US-SD-087,South Dakota,McCook,26505,5605
1672,US-SD-089,South Dakota,McPherson,22596,2432
2354,US-SD-093,South Dakota,Meade,25375,25914
152,US-SD-095,South Dakota,Mellette,15760,2072
287,US-SD-097,South Dakota,Miner,31288,2355
9834,US-SD-099,South Dakota,Minnehaha,26380,173108
420,US-SD-101,South Dakota,Moody,27682,6460
356,US-SD-113,South Dakota,Oglala Lakota,8768,13829
11878,US-SD-103,South Dakota,Pennington,27000,102752
429,US-SD-105,South Dakota,Perkins,25751,2943
219,US-SD-107,South Dakota,Potter,26180,2323
3329,US-SD-109,South Dakota,Roberts,22670,10210
137,US-SD-111,South Dakota,Sanborn,25823,2348
328,US-SD-115,South Dakota,Spink,27757,6522
1957,US-SD-117,South Dakota,Stanley,30933,2966
1154,US-SD-119,South Dakota,Sully,30218,1420
179,US-SD-121,South Dakota,Todd,10575,9783
165,US-SD-123,South Dakota,Tripp,23270,5571
438,US-SD-125,South Dakota,Turner,25406,8344
706,US-SD-127,South Dakota,Union,36167,14575
397,US-SD-129,South Dakota,Walworth,25915,5477
2637,US-SD-135,South Dakota,Yankton,27268,22518
95,US-SD-137,South Dakota,Ziebach,12339,2821
6722,US-TN-001,Tennessee,Anderson,24561,75263
2151,US-TN-003,Tennessee,Bedford,19303,45339
887,US-TN-005,Tennessee,Benton,18456,16398
2190,US-TN-007,Tennessee,Bledsoe,15747,12853
12514,US-TN-009,Tennessee,Blount,23788,123722
2445,US-TN-011,Tennessee,Bradley,21649,100070
2772,US-TN-013,Tennessee,Campbell,16812,40553
408,US-TN-015,Tennessee,Cannon,20566,13790
382,US-TN-017,Tennessee,Carroll,18330,28525
7948,US-TN-019,Tennessee,Carter,19018,57438
1171,US-TN-021,Tennessee,Cheatham,23459,39213
173,US-TN-023,Tennessee,Chester,18817,17151
316,US-TN-025,Tennessee,Claiborne,18583,31915
744,US-TN-027,Tennessee,Clay,16867,7816
2599,US-TN-029,Tennessee,Cocke,17476,35596
2409,US-TN-031,Tennessee,Coffee,20357,53011
423,US-TN-033,Tennessee,Crockett,18664,14576
5016,US-TN-035,Tennessee,Cumberland,21141,56589
35064,US-TN-037,Tennessee,Davidson,28467,638395
502,US-TN-039,Tennessee,Decatur,25368,11695
2566,US-TN-041,Tennessee,DeKalb,21606,18875
1504,US-TN-043,Tennessee,Dickson,21547,49926
3346,US-TN-045,Tennessee,Dyer,21208,38239
1712,US-TN-047,Tennessee,Fayette,28201,38502
512,US-TN-049,Tennessee,Fentress,16454,17943
2291,US-TN-051,Tennessee,Franklin,22398,40985
2749,US-TN-053,Tennessee,Gibson,20402,49664
525,US-TN-055,Tennessee,Giles,19998,29214
811,US-TN-057,Tennessee,Grainger,17933,22653
2691,US-TN-059,Tennessee,Greene,19801,68679
574,US-TN-061,Tennessee,Grundy,15683,13657
3103,US-TN-063,Tennessee,Hamblen,21261,62721
24651,US-TN-065,Tennessee,Hamilton,27229,340973
97,US-TN-067,Tennessee,Hancock,14326,6737
436,US-TN-069,Tennessee,Hardeman,14975,26897
1964,US-TN-071,Tennessee,Hardin,20127,26011
3629,US-TN-073,Tennessee,Hawkins,20662,56759
1253,US-TN-075,Tennessee,Haywood,18714,18531
748,US-TN-077,Tennessee,Henderson,20449,27934
5325,US-TN-079,Tennessee,Henry,22239,32293
608,US-TN-081,Tennessee,Hickman,18383,24428
255,US-TN-083,Tennessee,Houston,18539,8375
5406,US-TN-085,Tennessee,Humphreys,22183,18392
412,US-TN-087,Tennessee,Jackson,18387,11527
1749,US-TN-089,Tennessee,Jefferson,20619,51759
1266,US-TN-091,Tennessee,Johnson,16470,18158
36899,US-TN-093,Tennessee,Knox,28136,436983
7354,US-TN-095,Tennessee,Lake,12042,7773
1016,US-TN-097,Tennessee,Lauderdale,15758,27794
973,US-TN-099,Tennessee,Lawrence,19136,41927
4128,US-TN-101,Tennessee,Lewis,17751,12049
2135,US-TN-103,Tennessee,Lincoln,21811,33411
2108,US-TN-105,Tennessee,Loudon,27045,49188
117,US-TN-111,Tennessee,Macon,17009,22416
2289,US-TN-113,Tennessee,Madison,23283,98261
3033,US-TN-115,Tennessee,Marion,21399,28214
556,US-TN-117,Tennessee,Marshall,20739,30818
1862,US-TN-119,Tennessee,Maury,22766,81821
1111,US-TN-107,Tennessee,McMinn,19744,52338
656,US-TN-109,Tennessee,McNairy,18428,26066
3000,US-TN-121,Tennessee,Meigs,19403,11706
1425,US-TN-123,Tennessee,Monroe,19643,44857
15537,US-TN-125,Tennessee,Montgomery,22380,177640
493,US-TN-127,Tennessee,Moore,23307,6347
1047,US-TN-129,Tennessee,Morgan,17747,21964
2183,US-TN-131,Tennessee,Obion,20900,31566
392,US-TN-133,Tennessee,Overton,18347,22109
2468,US-TN-135,Tennessee,Perry,17214,7861
255,US-TN-137,Tennessee,Pickett,21942,5095
5524,US-TN-139,Tennessee,Polk,20274,16723
7275,US-TN-141,Tennessee,Putnam,20517,72702
1438,US-TN-143,Tennessee,Rhea,18952,32080
5302,US-TN-145,Tennessee,Roane,23936,53765
933,US-TN-147,Tennessee,Robertson,23809,66623
12708,US-TN-149,Tennessee,Rutherford,25077,269407
1528,US-TN-151,Tennessee,Scott,17121,22154
553,US-TN-153,Tennessee,Sequatchie,20899,14333
10780,US-TN-155,Tennessee,Sevier,22242,91295
27952,US-TN-157,Tennessee,Shelby,25549,932919
1021,US-TN-159,Tennessee,Smith,21153,19134
3401,US-TN-161,Tennessee,Stewart,21701,13313
17171,US-TN-163,Tennessee,Sullivan,23850,156741
3080,US-TN-165,Tennessee,Sumner,27795,163724
1296,US-TN-167,Tennessee,Tipton,23054,61298
152,US-TN-169,Tennessee,Trousdale,20491,7843
1497,US-TN-171,Tennessee,Unicoi,20152,18254
1033,US-TN-173,Tennessee,Union,17426,19177
755,US-TN-175,Tennessee,Van Buren,19450,5562
2904,US-TN-177,Tennessee,Warren,19531,39861
17710,US-TN-179,Tennessee,Washington,25355,123891
300,US-TN-181,Tennessee,Wayne,17706,16996
730,US-TN-183,Tennessee,Weakley,19547,34779
1059,US-TN-185,Tennessee,White,18205,25986
6626,US-TN-187,Tennessee,Williamson,41292,188935
5173,US-TN-189,Tennessee,Wilson,27864,116948
1098,US-TX-001,Texas,Anderson,18495,58262
639,US-TX-003,Texas,Andrews,27429,15554
1667,US-TX-005,Texas,Angelina,20982,87042
33641,US-TX-007,Texas,Aransas,26953,23627
1383,US-TX-009,Texas,Archer,27800,8853
311,US-TX-011,Texas,Armstrong,26823,1773
2372,US-TX-013,Texas,Atascosa,20193,45714
3449,US-TX-015,Texas,Austin,25884,28573
1892,US-TX-017,Texas,Bailey,18676,7121
9717,US-TX-019,Texas,Bandera,25364,20533
12729,US-TX-021,Texas,Bastrop,23342,74730
619,US-TX-023,Texas,Baylor,28021,3678
3841,US-TX-025,Texas,Bee,16848,32281
10217,US-TX-027,Texas,Bell,22857,316144
63563,US-TX-029,Texas,Bexar,24253,1753238
9446,US-TX-031,Texas,Blanco,26781,10562
329,US-TX-033,Texas,Borden,50042,649
2000,US-TX-035,Texas,Bosque,23992,18094
3351,US-TX-037,Texas,Bowie,22911,92851
33222,US-TX-039,Texas,Brazoria,29081,319493
21609,US-TX-041,Texas,Brazos,21720,197642
36259,US-TX-043,Texas,Brewster,27796,9244
1770,US-TX-045,Texas,Briscoe,20697,1615
2742,US-TX-047,Texas,Brooks,14345,7225
1845,US-TX-049,Texas,Brown,21236,37942
1612,US-TX-051,Texas,Burleson,21529,17201
10749,US-TX-053,Texas,Burnet,24998,43230
4252,US-TX-055,Texas,Caldwell,19673,38465
8260,US-TX-057,Texas,Calhoun,23381,21503
766,US-TX-059,Texas,Callahan,22855,13535
103051,US-TX-061,Texas,Cameron,14710,410710
1283,US-TX-063,Texas,Camp,19176,12415
923,US-TX-065,Texas,Carson,26827,6158
1291,US-TX-067,Texas,Cass,20104,30344
380,US-TX-069,Texas,Castro,19708,8046
34880,US-TX-071,Texas,Chambers,30140,35570
1056,US-TX-073,Texas,Cherokee,18801,50865
436,US-TX-075,Texas,Childress,20248,7057
1404,US-TX-077,Texas,Clay,25867,10651
467,US-TX-079,Texas,Cochran,17371,3068
506,US-TX-081,Texas,Coke,26407,3271
1759,US-TX-083,Texas,Coleman,18967,8744
23602,US-TX-085,Texas,Collin,37839,811308
271,US-TX-087,Texas,Collingsworth,22847,3061
6549,US-TX-089,Texas,Colorado,24348,20776
14193,US-TX-091,Texas,Comal,32980,112083
847,US-TX-093,Texas,Comanche,19268,13829
752,US-TX-095,Texas,Concho,19976,4070
1280,US-TX-097,Texas,Cooke,25186,38484
5224,US-TX-099,Texas,Coryell,19357,75966
331,US-TX-101,Texas,Cottle,21089,1546
281,US-TX-103,Texas,Crane,22291,4484
1675,US-TX-105,Texas,Crockett,23872,3840
4399,US-TX-107,Texas,Crosby,18959,6056
5520,US-TX-109,Texas,Culberson,16227,2345
972,US-TX-111,Texas,Dallam,19752,6854
42596,US-TX-113,Texas,Dallas,26816,2412481
757,US-TX-115,Texas,Dawson,17677,13771
359,US-TX-117,Texas,Deaf Smith,17532,19307
1039,US-TX-119,Texas,Delta,20150,5237
18895,US-TX-121,Texas,Denton,33855,687857
4607,US-TX-123,Texas,DeWitt,23720,20269
460,US-TX-125,Texas,Dickens,20578,2382
916,US-TX-127,Texas,Dimmit,17516,10270
669,US-TX-129,Texas,Donley,21904,3620
1165,US-TX-131,Texas,Duval,20181,11740
698,US-TX-133,Texas,Eastland,21125,18465
975,US-TX-135,Texas,Ector,24247,141542
3149,US-TX-137,Texas,Edwards,22015,2070
9766,US-TX-141,Texas,El Paso,18379,813015
5571,US-TX-139,Texas,Ellis,25662,152020
1959,US-TX-143,Texas,Erath,21670,38744
891,US-TX-145,Texas,Falls,16486,17719
1348,US-TX-147,Texas,Fannin,20337,33819
3567,US-TX-149,Texas,Fayette,27032,24662
558,US-TX-151,Texas,Fisher,22709,3924
1425,US-TX-153,Texas,Floyd,21655,6371
462,US-TX-155,Texas,Foard,20202,1133
26373,US-TX-157,Texas,Fort Bend,34084,608939
1965,US-TX-159,Texas,Franklin,28189,10611
1796,US-TX-161,Texas,Freestone,22876,19657
1475,US-TX-163,Texas,Frio,15863,17522
307,US-TX-165,Texas,Gaines,21572,18019
95870,US-TX-167,Texas,Galveston,30926,296669
868,US-TX-169,Texas,Garza,16175,6356
3709,US-TX-171,Texas,Gillespie,30117,25003
478,US-TX-173,Texas,Glasscock,31135,1176
1878,US-TX-175,Texas,Goliad,30031,7281
4758,US-TX-177,Texas,Gonzales,20288,19920
758,US-TX-179,Texas,Gray,21738,22777
18240,US-TX-181,Texas,Grayson,24003,121292
3101,US-TX-183,Texas,Gregg,24064,122258
1939,US-TX-185,Texas,Grimes,20307,26663
22104,US-TX-187,Texas,Guadalupe,26184,135940
3980,US-TX-189,Texas,Hale,18004,36150
839,US-TX-191,Texas,Hall,19004,3310
771,US-TX-193,Texas,Hamilton,23067,8410
474,US-TX-195,Texas,Hansford,23969,5566
1392,US-TX-197,Texas,Hardeman,19829,4087
4170,US-TX-199,Texas,Hardin,25559,54945
147841,US-TX-201,Texas,Harris,27899,4182285
3264,US-TX-203,Texas,Harrison,23236,66467
621,US-TX-205,Texas,Hartley,24566,6076
362,US-TX-207,Texas,Haskell,22223,5885
16445,US-TX-209,Texas,Hays,26873,164144
498,US-TX-211,Texas,Hemphill,29544,3959
10575,US-TX-213,Texas,Henderson,21995,78636
125839,US-TX-215,Texas,Hidalgo,14222,790646
2617,US-TX-217,Texas,Hill,21182,35051
1211,US-TX-219,Texas,Hockley,21984,23115
1479,US-TX-221,Texas,Hood,30046,51756
1006,US-TX-223,Texas,Hopkins,21606,35295
1093,US-TX-225,Texas,Houston,19090,23365
1154,US-TX-227,Texas,Howard,19965,35297
3539,US-TX-229,Texas,Hudspeth,14142,3394
5023,US-TX-231,Texas,Hunt,22341,86455
1899,US-TX-233,Texas,Hutchinson,23383,21986
226,US-TX-235,Texas,Irion,28055,1603
895,US-TX-237,Texas,Jack,24325,9012
2804,US-TX-239,Texas,Jackson,23418,14201
2868,US-TX-241,Texas,Jasper,20254,35797
18765,US-TX-243,Texas,Jeff Davis,26958,2311
61919,US-TX-245,Texas,Jefferson,23236,252157
2007,US-TX-247,Texas,Jim Hogg,19212,5271
2065,US-TX-249,Texas,Jim Wells,20452,41217
4869,US-TX-251,Texas,Johnson,24816,152384
856,US-TX-253,Texas,Jones,14827,20079
1298,US-TX-255,Texas,Karnes,19899,14916
2509,US-TX-257,Texas,Kaufman,24954,105220
11415,US-TX-259,Texas,Kendall,35827,34951
7669,US-TX-261,Texas,Kenedy,15157,524
352,US-TX-263,Texas,Kent,24839,913
8741,US-TX-265,Texas,Kerr,26334,49696
8954,US-TX-267,Texas,Kimble,27502,4566
304,US-TX-269,Texas,King,29836,321
2773,US-TX-271,Texas,Kinney,16700,3589
13903,US-TX-273,Texas,Kleberg,18918,32052
455,US-TX-275,Texas,Knox,19396,3731
1849,US-TX-283,Texas,La Salle,13307,6921
1171,US-TX-277,Texas,Lamar,21468,49751
715,US-TX-279,Texas,Lamb,18744,13921
3157,US-TX-281,Texas,Lampasas,23423,19937
1184,US-TX-285,Texas,Lavaca,24299,19351
10897,US-TX-287,Texas,Lee,25123,16603
1049,US-TX-289,Texas,Leon,24170,16802
4050,US-TX-291,Texas,Liberty,19740,76013
784,US-TX-293,Texas,Limestone,19352,23417
180,US-TX-295,Texas,Lipscomb,29017,3379
3932,US-TX-297,Texas,Live Oak,21016,11603
3645,US-TX-299,Texas,Llano,33634,19223
203,US-TX-301,Texas,Loving,34068,87
14065,US-TX-303,Texas,Lubbock,23773,282633
1938,US-TX-305,Texas,Lynn,21639,5841
792,US-TX-313,Texas,Madison,15131,13689
2091,US-TX-315,Texas,Marion,20337,10439
668,US-TX-317,Texas,Martin,20859,4956
1343,US-TX-319,Texas,Mason,27504,4034
8943,US-TX-321,Texas,Matagorda,23389,36639
954,US-TX-323,Texas,Maverick,13668,54880
858,US-TX-307,Texas,McCulloch,20677,8302
6202,US-TX-309,Texas,McLennan,21660,237316
3466,US-TX-311,Texas,McMullen,27375,616
3574,US-TX-325,Texas,Medina,22413,46512
896,US-TX-327,Texas,Menard,18253,2213
9057,US-TX-329,Texas,Midland,33672,142289
2663,US-TX-331,Texas,Milam,21248,24503
757,US-TX-333,Texas,Mills,22651,4891
1250,US-TX-335,Texas,Mitchell,15936,9388
525,US-TX-337,Texas,Montague,24699,19668
23062,US-TX-339,Texas,Montgomery,32911,472162
851,US-TX-341,Texas,Moore,19770,22029
2980,US-TX-343,Texas,Morris,20045,12869
391,US-TX-345,Texas,Motley,18828,1182
3612,US-TX-347,Texas,Nacogdoches,20362,65085
2329,US-TX-349,Texas,Navarro,20327,47883
445,US-TX-351,Texas,Newton,20431,14340
775,US-TX-353,Texas,Nolan,19002,15087
61192,US-TX-355,Texas,Nueces,23671,344257
348,US-TX-357,Texas,Ochiltree,23382,10467
492,US-TX-359,Texas,Oldham,22519,2064
1804,US-TX-361,Texas,Orange,24736,82372
3781,US-TX-363,Texas,Palo Pinto,23655,28017
1115,US-TX-365,Texas,Panola,26525,23877
2542,US-TX-367,Texas,Parker,30692,118478
526,US-TX-369,Texas,Parmer,19304,10159
2619,US-TX-371,Texas,Pecos,20245,15590
1801,US-TX-373,Texas,Polk,19498,45620
2272,US-TX-375,Texas,Potter,19861,121526
2849,US-TX-377,Texas,Presidio,16175,7579
3892,US-TX-379,Texas,Rains,21946,10989
7969,US-TX-381,Texas,Randall,29124,123062
371,US-TX-383,Texas,Reagan,26633,3441
3122,US-TX-385,Texas,Real,17931,3348
908,US-TX-387,Texas,Red River,19014,12709
4908,US-TX-389,Texas,Reeves,15467,13775
6766,US-TX-391,Texas,Refugio,23174,7327
200,US-TX-393,Texas,Roberts,36172,1030
1873,US-TX-395,Texas,Robertson,21709,16574
1359,US-TX-397,Texas,Rockwall,34617,81020
482,US-TX-399,Texas,Runnels,20235,10439
2729,US-TX-401,Texas,Rusk,21640,53508
1167,US-TX-403,Texas,Sabine,18762,10604
660,US-TX-405,Texas,San Augustine,18695,8855
1411,US-TX-407,Texas,San Jacinto,24733,26669
9241,US-TX-409,Texas,San Patricio,23373,65210
4649,US-TX-411,Texas,San Saba,18009,6050
518,US-TX-413,Texas,Schleicher,24787,3316
779,US-TX-415,Texas,Scurry,22860,17014
599,US-TX-417,Texas,Shackelford,25436,3362
1520,US-TX-419,Texas,Shelby,21126,25677
298,US-TX-421,Texas,Sherman,21936,3048
7874,US-TX-423,Texas,Smith,25626,212227
4398,US-TX-425,Texas,Somervell,28134,8537
20262,US-TX-427,Texas,Starr,11584,61351
757,US-TX-429,Texas,Stephens,20535,9493
348,US-TX-431,Texas,Sterling,20157,1358
342,US-TX-433,Texas,Stonewall,24063,1363
1082,US-TX-435,Texas,Sutton,27721,4058
1282,US-TX-437,Texas,Swisher,17880,7807
53131,US-TX-439,Texas,Tarrant,28266,1848423
5636,US-TX-441,Texas,Taylor,23141,132588
1527,US-TX-443,Texas,Terrell,31578,837
508,US-TX-445,Texas,Terry,21201,12644
1653,US-TX-447,Texas,Throckmorton,24086,1623
1347,US-TX-449,Texas,Titus,19356,32360
9354,US-TX-451,Texas,Tom Green,23712,111969
128626,US-TX-453,Texas,Travis,33206,1063248
814,US-TX-455,Texas,Trinity,18730,14460
1972,US-TX-457,Texas,Tyler,19612,21619
1831,US-TX-459,Texas,Upshur,22483,39640
359,US-TX-461,Texas,Upton,22953,3323
10175,US-TX-463,Texas,Uvalde,17479,26578
4902,US-TX-465,Texas,Val Verde,17867,48730
9713,US-TX-467,Texas,Van Zandt,21920,52515
4412,US-TX-469,Texas,Victoria,24700,88068
2437,US-TX-471,Texas,Walker,16330,68110
9945,US-TX-473,Texas,Waller,22412,43836
815,US-TX-475,Texas,Ward,22278,10836
2413,US-TX-477,Texas,Washington,23070,33863
8816,US-TX-479,Texas,Webb,14553,254829
2120,US-TX-481,Texas,Wharton,20310,41185
460,US-TX-483,Texas,Wheeler,30097,5526
3106,US-TX-485,Texas,Wichita,22837,131500
2565,US-TX-487,Texas,Wilbarger,20373,13371
4739,US-TX-489,Texas,Willacy,11313,22039
42191,US-TX-491,Texas,Williamson,31070,441445
4172,US-TX-493,Texas,Wilson,27238,43753
261,US-TX-495,Texas,Winkler,23629,7260
2711,US-TX-497,Texas,Wise,25663,59894
2169,US-TX-499,Texas,Wood,23129,42089
412,US-TX-501,Texas,Yoakum,21389,7998
2048,US-TX-503,Texas,Young,26979,18395
6708,US-TX-505,Texas,Zapata,16671,14164
700,US-TX-507,Texas,Zavala,12828,11849
1720,US-UT-001,Utah,Beaver,19415,6529
15189,US-UT-003,Utah,Box Elder,21720,50160
31522,US-UT-005,Utah,Cache,20074,114181
1100,US-UT-007,Utah,Carbon,20155,21227
987,US-UT-009,Utah,Daggett,22811,830
35573,US-UT-011,Utah,Davis,26035,311886
2958,US-UT-013,Utah,Duchesne,23411,19109
1710,US-UT-015,Utah,Emery,20137,10895
8485,US-UT-017,Utah,Garfield,21989,5123
11568,US-UT-019,Utah,Grand,23558,9269
4935,US-UT-021,Utah,Iron,17839,46435
3775,US-UT-023,Utah,Juab,18108,10300
4074,US-UT-025,Utah,Kane,24154,7176
3699,US-UT-027,Utah,Millard,19972,12543
5170,US-UT-029,Utah,Morgan,26274,9692
948,US-UT-031,Utah,Piute,16959,1791
2186,US-UT-033,Utah,Rich,24258,2279
61120,US-UT-035,Utah,Salt Lake,26103,1048314
6492,US-UT-037,Utah,San Juan,15476,14795
1388,US-UT-039,Utah,Sanpete,17811,27930
1533,US-UT-041,Utah,Sevier,19115,20798
10385,US-UT-043,Utah,Summit,42462,37232
4794,US-UT-045,Utah,Tooele,22252,59120
6153,US-UT-047,Utah,Uintah,23805,33722
44314,US-UT-049,Utah,Utah,20774,529262
6898,US-UT-051,Utah,Wasatch,25777,24542
36725,US-UT-053,Utah,Washington,21472,141902
2837,US-UT-055,Utah,Wayne,19858,2760
9377,US-UT-057,Utah,Weber,23106,233871
74105,US-VT-001,Vermont,Addison,28722,36811
18371,US-VT-003,Vermont,Bennington,29196,36871
7758,US-VT-005,Vermont,Caledonia,23584,31157
70529,US-VT-007,Vermont,Chittenden,33281,157637
8880,US-VT-009,Vermont,Essex,20887,6276
20185,US-VT-011,Vermont,Franklin,27398,48019
14107,US-VT-013,Vermont,Grand Isle,33159,6984
16395,US-VT-015,Vermont,Lamoille,27157,24670
12594,US-VT-017,Vermont,Orange,27289,28966
12909,US-VT-019,Vermont,Orleans,22303,27184
40632,US-VT-021,Vermont,Rutland,26205,61270
28734,US-VT-023,Vermont,Washington,29761,59427
30350,US-VT-025,Vermont,Windham,28867,44216
63758,US-VT-027,Vermont,Windsor,30932,56416
38487,US-VA-001,Virginia,Accomack,22703,33289
24999,US-VA-003,Virginia,Albemarle,37239,100636
12153,US-VA-510,Virginia,Alexandria,54608,143684
1003,US-VA-005,Virginia,Alleghany,24162,16240
1069,US-VA-007,Virginia,Amelia,25100,12712
3880,US-VA-009,Virginia,Amherst,22580,32244
3155,US-VA-011,Virginia,Appomattox,23636,15054
14317,US-VA-013,Virginia,Arlington,62018,214861
17250,US-VA-015,Virginia,Augusta,25519,73726
